SNMPv2-MIB::sysDescr.0 = STRING: 
EtherLike-MIB::dot3HCControlInUnknownOpcodes.2 = Counter64: 0
EtherLike-MIB::dot3HCControlInUnknownOpcodes.3 = Counter64: 0
EtherLike-MIB::dot3HCControlInUnknownOpcodes.4 = Counter64: 0
EtherLike-MIB::dot3HCControlInUnknownOpcodes.5 = Counter64: 0
EtherLike-MIB::dot3HCControlInUnknownOpcodes.6 = Counter64: 0
EtherLike-MIB::dot3PauseAdminMode.1 = INTEGER: 0
EtherLike-MIB::dot3PauseAdminMode.2 = INTEGER: 0
EtherLike-MIB::dot3PauseAdminMode.3 = INTEGER: 0
EtherLike-MIB::dot3PauseAdminMode.4 = INTEGER: 0
EtherLike-MIB::dot3PauseAdminMode.5 = INTEGER: 0
EtherLike-MIB::dot3PauseAdminMode.6 = INTEGER: 0
EtherLike-MIB::dot3PauseOperMode.1 = INTEGER: 0
EtherLike-MIB::dot3PauseOperMode.2 = INTEGER: 0
EtherLike-MIB::dot3PauseOperMode.3 = INTEGER: 0
EtherLike-MIB::dot3PauseOperMode.4 = INTEGER: 0
EtherLike-MIB::dot3PauseOperMode.5 = INTEGER: 0
EtherLike-MIB::dot3PauseOperMode.6 = INTEGER: 0
EtherLike-MIB::dot3InPauseFrames.1 = Counter32: 0
EtherLike-MIB::dot3InPauseFrames.2 = Counter32: 0
EtherLike-MIB::dot3InPauseFrames.3 = Counter32: 0
EtherLike-MIB::dot3InPauseFrames.4 = Counter32: 0
EtherLike-MIB::dot3InPauseFrames.5 = Counter32: 0
EtherLike-MIB::dot3InPauseFrames.6 = Counter32: 0
EtherLike-MIB::dot3OutPauseFrames.1 = Counter32: 0
EtherLike-MIB::dot3OutPauseFrames.2 = Counter32: 0
EtherLike-MIB::dot3OutPauseFrames.3 = Counter32: 0
EtherLike-MIB::dot3OutPauseFrames.4 = Counter32: 0
EtherLike-MIB::dot3OutPauseFrames.5 = Counter32: 0
EtherLike-MIB::dot3OutPauseFrames.6 = Counter32: 0
IF-MIB::ifName.1 = STRING: port1
IF-MIB::ifName.2 = STRING: port2
IF-MIB::ifName.3 = STRING: port3
IF-MIB::ifName.4 = STRING: port4
IF-MIB::ifName.5 = STRING: port5
IF-MIB::ifName.6 = STRING: port6
IF-MIB::ifInMulticastPkts.1 = Counter32: 0
IF-MIB::ifInMulticastPkts.2 = Counter32: 0
IF-MIB::ifInMulticastPkts.3 = Counter32: 0
IF-MIB::ifInMulticastPkts.4 = Counter32: 0
IF-MIB::ifInMulticastPkts.5 = Counter32: 0
IF-MIB::ifInMulticastPkts.6 = Counter32: 0
IF-MIB::ifInBroadcastPkts.1 = Counter32: 0
IF-MIB::ifInBroadcastPkts.2 = Counter32: 0
IF-MIB::ifInBroadcastPkts.3 = Counter32: 0
IF-MIB::ifInBroadcastPkts.4 = Counter32: 0
IF-MIB::ifInBroadcastPkts.5 = Counter32: 0
IF-MIB::ifInBroadcastPkts.6 = Counter32: 0
IF-MIB::ifOutMulticastPkts.1 = Counter32: 0
IF-MIB::ifOutMulticastPkts.2 = Counter32: 0
IF-MIB::ifOutMulticastPkts.3 = Counter32: 0
IF-MIB::ifOutMulticastPkts.4 = Counter32: 0
IF-MIB::ifOutMulticastPkts.5 = Counter32: 0
IF-MIB::ifOutMulticastPkts.6 = Counter32: 0
IF-MIB::ifOutBroadcastPkts.1 = Counter32: 0
IF-MIB::ifOutBroadcastPkts.2 = Counter32: 0
IF-MIB::ifOutBroadcastPkts.3 = Counter32: 0
IF-MIB::ifOutBroadcastPkts.4 = Counter32: 0
IF-MIB::ifOutBroadcastPkts.5 = Counter32: 0
IF-MIB::ifOutBroadcastPkts.6 = Counter32: 0
IF-MIB::ifHCInOctets.1 = Counter64: 727491026
IF-MIB::ifHCInOctets.2 = Counter64: 0
IF-MIB::ifHCInOctets.3 = Counter64: 141656
IF-MIB::ifHCInOctets.4 = Counter64: 0
IF-MIB::ifHCInOctets.5 = Counter64: 0
IF-MIB::ifHCInOctets.6 = Counter64: 0
IF-MIB::ifHCInUcastPkts.1 = Counter64: 705469
IF-MIB::ifHCInUcastPkts.2 = Counter64: 0
IF-MIB::ifHCInUcastPkts.3 = Counter64: 1438
IF-MIB::ifHCInUcastPkts.4 = Counter64: 0
IF-MIB::ifHCInUcastPkts.5 = Counter64: 0
IF-MIB::ifHCInUcastPkts.6 = Counter64: 0
IF-MIB::ifHCInMulticastPkts.1 = Counter64: 0
IF-MIB::ifHCInMulticastPkts.2 = Counter64: 0
IF-MIB::ifHCInMulticastPkts.3 = Counter64: 0
IF-MIB::ifHCInMulticastPkts.4 = Counter64: 0
IF-MIB::ifHCInMulticastPkts.5 = Counter64: 0
IF-MIB::ifHCInMulticastPkts.6 = Counter64: 0
IF-MIB::ifHCInBroadcastPkts.1 = Counter64: 0
IF-MIB::ifHCInBroadcastPkts.2 = Counter64: 0
IF-MIB::ifHCInBroadcastPkts.3 = Counter64: 0
IF-MIB::ifHCInBroadcastPkts.4 = Counter64: 0
IF-MIB::ifHCInBroadcastPkts.5 = Counter64: 0
IF-MIB::ifHCInBroadcastPkts.6 = Counter64: 0
IF-MIB::ifHCOutOctets.1 = Counter64: 126752342
IF-MIB::ifHCOutOctets.2 = Counter64: 0
IF-MIB::ifHCOutOctets.3 = Counter64: 146700
IF-MIB::ifHCOutOctets.4 = Counter64: 0
IF-MIB::ifHCOutOctets.5 = Counter64: 0
IF-MIB::ifHCOutOctets.6 = Counter64: 0
IF-MIB::ifHCOutUcastPkts.1 = Counter64: 423026
IF-MIB::ifHCOutUcastPkts.2 = Counter64: 0
IF-MIB::ifHCOutUcastPkts.3 = Counter64: 2153
IF-MIB::ifHCOutUcastPkts.4 = Counter64: 0
IF-MIB::ifHCOutUcastPkts.5 = Counter64: 0
IF-MIB::ifHCOutUcastPkts.6 = Counter64: 0
IF-MIB::ifHCOutMulticastPkts.1 = Counter64: 0
IF-MIB::ifHCOutMulticastPkts.2 = Counter64: 0
IF-MIB::ifHCOutMulticastPkts.3 = Counter64: 0
IF-MIB::ifHCOutMulticastPkts.4 = Counter64: 0
IF-MIB::ifHCOutMulticastPkts.5 = Counter64: 0
IF-MIB::ifHCOutMulticastPkts.6 = Counter64: 0
IF-MIB::ifHCOutBroadcastPkts.1 = Counter64: 0
IF-MIB::ifHCOutBroadcastPkts.2 = Counter64: 0
IF-MIB::ifHCOutBroadcastPkts.3 = Counter64: 0
IF-MIB::ifHCOutBroadcastPkts.4 = Counter64: 0
IF-MIB::ifHCOutBroadcastPkts.5 = Counter64: 0
IF-MIB::ifHCOutBroadcastPkts.6 = Counter64: 0
IF-MIB::ifLinkUpDownTrapEnable.1 = INTEGER: enabled(1)
IF-MIB::ifLinkUpDownTrapEnable.2 = INTEGER: enabled(1)
IF-MIB::ifLinkUpDownTrapEnable.3 = INTEGER: enabled(1)
IF-MIB::ifLinkUpDownTrapEnable.4 = INTEGER: enabled(1)
IF-MIB::ifLinkUpDownTrapEnable.5 = INTEGER: enabled(1)
IF-MIB::ifLinkUpDownTrapEnable.6 = INTEGER: enabled(1)
IF-MIB::ifHighSpeed.1 = Gauge32: 1000
IF-MIB::ifHighSpeed.2 = Gauge32: 4294967295
IF-MIB::ifHighSpeed.3 = Gauge32: 1000
IF-MIB::ifHighSpeed.4 = Gauge32: 4294967295
IF-MIB::ifHighSpeed.5 = Gauge32: 4294967295
IF-MIB::ifHighSpeed.6 = Gauge32: 4294967295
IF-MIB::ifPromiscuousMode.1 = INTEGER: false(2)
IF-MIB::ifPromiscuousMode.2 = INTEGER: false(2)
IF-MIB::ifPromiscuousMode.3 = INTEGER: false(2)
IF-MIB::ifPromiscuousMode.4 = INTEGER: false(2)
IF-MIB::ifPromiscuousMode.5 = INTEGER: false(2)
IF-MIB::ifPromiscuousMode.6 = INTEGER: false(2)
IF-MIB::ifConnectorPresent.1 = INTEGER: true(1)
IF-MIB::ifConnectorPresent.2 = INTEGER: true(1)
IF-MIB::ifConnectorPresent.3 = INTEGER: true(1)
IF-MIB::ifConnectorPresent.4 = INTEGER: true(1)
IF-MIB::ifConnectorPresent.5 = INTEGER: true(1)
IF-MIB::ifConnectorPresent.6 = INTEGER: true(1)
IF-MIB::ifAlias.1 = STRING: 
IF-MIB::ifAlias.2 = STRING: 
IF-MIB::ifAlias.3 = STRING: 
IF-MIB::ifAlias.4 = STRING: 
IF-MIB::ifAlias.5 = STRING: 
IF-MIB::ifAlias.6 = STRING: 
IF-MIB::ifCounterDiscontinuityTime.1 = Timeticks: (0) 0:00:00.00
IF-MIB::ifCounterDiscontinuityTime.2 = Timeticks: (0) 0:00:00.00
IF-MIB::ifCounterDiscontinuityTime.3 = Timeticks: (0) 0:00:00.00
IF-MIB::ifCounterDiscontinuityTime.4 = Timeticks: (0) 0:00:00.00
IF-MIB::ifCounterDiscontinuityTime.5 = Timeticks: (0) 0:00:00.00
IF-MIB::ifCounterDiscontinuityTime.6 = Timeticks: (0) 0:00:00.00
IF-MIB::ifTestId.1 = INTEGER: 0
IF-MIB::ifTestId.2 = INTEGER: 0
IF-MIB::ifTestId.3 = INTEGER: 0
IF-MIB::ifTestId.4 = INTEGER: 0
IF-MIB::ifTestId.5 = INTEGER: 0
IF-MIB::ifTestId.6 = INTEGER: 0
IF-MIB::ifTestStatus.1 = INTEGER: notInUse(1)
IF-MIB::ifTestStatus.2 = INTEGER: notInUse(1)
IF-MIB::ifTestStatus.3 = INTEGER: notInUse(1)
IF-MIB::ifTestStatus.4 = INTEGER: notInUse(1)
IF-MIB::ifTestStatus.5 = INTEGER: notInUse(1)
IF-MIB::ifTestStatus.6 = INTEGER: notInUse(1)
IF-MIB::ifTestType.1 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestType.2 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestType.3 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestType.4 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestType.5 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestType.6 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestResult.1 = INTEGER: none(1)
IF-MIB::ifTestResult.2 = INTEGER: none(1)
IF-MIB::ifTestResult.3 = INTEGER: none(1)
IF-MIB::ifTestResult.4 = INTEGER: none(1)
IF-MIB::ifTestResult.5 = INTEGER: none(1)
IF-MIB::ifTestResult.6 = INTEGER: none(1)
IF-MIB::ifTestCode.1 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestCode.2 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestCode.3 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestCode.4 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestCode.5 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestCode.6 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifTestOwner.1 = STRING: none
IF-MIB::ifTestOwner.2 = STRING: none
IF-MIB::ifTestOwner.3 = STRING: none
IF-MIB::ifTestOwner.4 = STRING: none
IF-MIB::ifTestOwner.5 = STRING: none
IF-MIB::ifTestOwner.6 = STRING: none
IF-MIB::ifTableLastChange.0 = Timeticks: (0) 0:00:00.00
IF-MIB::ifStackLastChange.0 = Timeticks: (0) 0:00:00.00
SNMPv2-SMI::mib-2.47.1.1.1.1.2.1 = STRING: "FortiSandbox FSA VM, HW Serial#: FSA-VME000008407"
SNMPv2-SMI::mib-2.47.1.1.1.1.3.1 = OID: SNMPv2-SMI::enterprises.12356.20000.20000.0
SNMPv2-SMI::mib-2.47.1.1.1.1.4.1 = INTEGER: 0
SNMPv2-SMI::mib-2.47.1.1.1.1.5.1 = INTEGER: 3
SNMPv2-SMI::mib-2.47.1.1.1.1.6.1 = INTEGER: -1
SNMPv2-SMI::mib-2.47.1.1.1.1.7.1 = STRING: "FSA VM"
SNMPv2-SMI::mib-2.47.1.1.1.1.8.1 = ""
SNMPv2-SMI::mib-2.47.1.1.1.1.9.1 = ""
SNMPv2-SMI::mib-2.47.1.1.1.1.10.1 = STRING: "FortiSandbox v2.4,build0252,130621"
SNMPv2-SMI::mib-2.47.1.1.1.1.11.1 = STRING: "FSA-VME000008407"
SNMPv2-SMI::mib-2.47.1.1.1.1.12.1 = STRING: "FortiSandbox"
SNMPv2-SMI::mib-2.47.1.1.1.1.13.1 = STRING: "FSA VM"
SNMPv2-SMI::mib-2.47.1.1.1.1.14.1 = ""
SNMPv2-SMI::mib-2.47.1.1.1.1.15.1 = ""
SNMPv2-SMI::mib-2.47.1.1.1.1.16.1 = INTEGER: 1
SNMPv2-SMI::mib-2.47.1.1.1.1.17.1 = ""
SNMPv2-SMI::mib-2.47.1.1.1.1.18.1 = ""
SNMPv2-SMI::mib-2.47.1.2.1.1.2.1 = STRING: "Fortinet FortiSandbox v2.4,build0252,130621"
SNMPv2-SMI::mib-2.47.1.2.1.1.3.1 = OID: SNMPv2-SMI::enterprises.12356
SNMPv2-SMI::mib-2.47.1.2.1.1.4.1 = STRING: "labsiem"
SNMPv2-SMI::mib-2.47.1.2.1.1.5.1 = STRING: "0.0.0.0:161"
SNMPv2-SMI::mib-2.47.1.2.1.1.6.1 = OID: SNMPv2-TM::snmpUDPDomain
SNMPv2-SMI::mib-2.47.1.2.1.1.7.1 = ""
SNMPv2-SMI::mib-2.47.1.2.1.1.8.1 = ""
SNMPv2-SMI::mib-2.47.1.3.1.1.1.1.1 = INTEGER: 1
SNMPv2-SMI::mib-2.47.1.3.3.1.1.1.2 = INTEGER: 2
SNMPv2-SMI::mib-2.47.1.4.1.0 = Timeticks: (0) 0:00:00.00
SNMPv2-SMI::enterprises.12356.118.3.1.1.0 = STRING: "v2.40-build0252 (GA)"
SNMPv2-SMI::enterprises.12356.118.3.1.2.0 = Gauge32: 6
SNMPv2-SMI::enterprises.12356.118.3.1.3.0 = Gauge32: 5
SNMPv2-SMI::enterprises.12356.118.3.1.4.0 = Gauge32: 20626200
SNMPv2-SMI::enterprises.12356.118.3.1.5.0 = Gauge32: 64887
SNMPv2-SMI::enterprises.12356.118.3.1.6.0 = Gauge32: 99656
SNMPv2-SMI::enterprises.12356.118.3.1.7.0 = Gauge32: 6
SNMPv2-SMI::enterprises.12356.118.3.1.8.0 = Counter64: 10566491
SNMPv2-SMI::enterprises.12356.118.3.2.1.0 = STRING: "5.2.40459"
SNMPv2-SMI::enterprises.12356.118.3.2.2.0 = STRING: "2.4.20059"
SNMPv2-SMI::enterprises.12356.118.3.2.3.0 = STRING: "3.2.279"
SNMPv2-SMI::enterprises.12356.118.3.2.4.0 = STRING: "3.404"
SNMPv2-SMI::enterprises.12356.118.3.2.5.0 = STRING: "11.163"
SNMPv2-SMI::enterprises.12356.118.5.1.1.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.2.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.3.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.4.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.5.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.6.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.7.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.8.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.9.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.10.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.11.0 = Gauge32: 0
SNMPv2-SMI::enterprises.12356.118.5.1.11.0 = No more variables left in this MIB View (It is past the end of the MIB tree)
